identifier_omeka,item - public,item - featured,note,form,keyDate_start,dateQualifier,digitalOrigin,physicalLocation,relatedItem_collection,languageOfCataloging,shelfLocator,place,place 2,name_primary,dateCreated,title,language,abstract,subject_topic,accessCondition,publisher,identifier_clio,source,note_filename,	typeOfResource,relatedItem_Project,location_url_ObjectInContext,note_ownership,rightsHolder
7589,1,0,Date inferred from Ulysses Kay's American Academy in Rome tenure dates.,photographs,1949 1952,in,rd,pvt-coll,Kay Family Collection,eng,,"Assisi, Italy",,,between 1949 and 1952,Ulysses and Barbara Kay in Assisi,eng,,"Kay, Ulysses, 1917-1995|Kay, Barbara, 1925-1997",,,,,Ulysses and Barbara Kay in Assisi 001.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/prix-de-rome,,Kay Family
7588,1,0,Date inferred from Ulysses Kay's American Academy in Rome tenure dates.,photographs,1949 1952,in,rd,pvt-coll,Kay Family Collection,eng,,"Rome, Italy",,"Driggs, Frank",between 1949 and 1952,Ulysses and Barbara Kay at American Academy,eng,,"Kay, Ulysses, 1917-1995|Kay, Barbara, 1925-1997",,,,,Ulysses and Barbara Kay in Rome Academy 001.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/prix-de-rome,,Kay Family
7587,1,0,,photographs,1943 ,ap,rd,pvt-coll,Kay Family Collection,eng,,"Providence, Rhode Island",,Paramount Studio,circa 1943,United States Navy Dance Band,eng,,United States Navy Dance Band,,,,,Kay Navy Dance Band 001.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/u-s--navy-and-columbia/navy-band,,Kay Family
7586,1,0,,photographs,1943-03 ,ex,rd,pvt-coll,Kay Family Collection,eng,,"Quonset Point, Rhode Island",,,"March, 1943",United States Naval Training School of Indoctrination Band,eng,,United States Naval Training School of Indoctrination Band,,,,,Kay Navy Band 001.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/u-s--navy-and-columbia/navy-band,,Kay Family
7452,1,0,,printed ephemera,1972-04-18 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Programs, 1972",,,,"April 18, 1972","Tribute to Leopold Stokowski celebrating his 90th birthday, unnumbered page",eng,"Program contents, which include Fanfares by Ulysses Kay","Stokowski, Leopold, 1882-1977",,,,,Stokowski Tribute program004.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/three-fanfares-for-four-trumpe,,
7451,1,0,,printed ephemera,1972-04-18 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Programs, 1972",,,,"April 18, 1972","Tribute to Leopold Stokowski celebrating his 90th birthday, front cover",eng,Program includes Fanfares by Ulysses Kay; includes photograph of Leopold Stokowski.,"Stokowski, Leopold, 1882-1977",,,,,Stokowski Tribute cover003.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/three-fanfares-for-four-trumpe,,
7450,1,0,,clippings,1962-02-03 ,ex,rd,pvt-coll,Private collection,eng,,,"Hackensack, New Jersey","Record (Hackensack, N.J.) ","February 3, 1962",Demonstrators Jailed,eng,Newspaper clipping of the front page of the Record. Shows a photograph of Barbara Kay and Mrs. Byron Baer being arrested for protesting as part of the Englewood Movement. ,"Englewood (N.J.) Movement|Kay, Barbara, 1925-1997",,Bergen Evening Record Corporation,,"Record (Hackensack, N.J.), front page",Englewood Movement Record Photo009.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/englewood-movement,,Loaned by Virginia Kay
7449,1,0,,correspondence,1961-07-07 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 85, Folder 9","Jackson, Mississippi",,"Kay, Barbara, 1925-1997|Kay, Ulysses, 1917-1995","July 7, 1961","Letter to Ulysses Kay from Hinds County Jail, back",eng,"Letter from Barbara Kay to her husband Ulysses Kay. Barbara Kay participated in the Mississippi Freedom Rides during the summer of 1961. Arrested in Jackson, she was held in three jails including the Parchman Penitentiary for a total of about 60 days, after receiving a four-month sentence for ""Breach of the Peace."" ","Freedom Rides, 1961",,,,,Hinds County Letter Page2.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/freedom-rider,,
7448,1,0,,correspondence,1961-07-07 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 85, Folder 9","Jackson, Mississippi",,"Kay, Barbara, 1925-1997|Kay, Ulysses, 1917-1995","July 7, 1961","Letter to Ulysses Kay from Hinds County Jail, front",eng,"Letter from Barbara Kay to her husband Ulysses Kay. Barbara Kay participated in the Mississippi Freedom Rides during the summer of 1961. Arrested in Jackson, she was held in three jails including the Parchman Penitentiary for a total of about 60 days, after receiving a four-month sentence for ""Breach of the Peace."" ","Freedom Rides, 1961",,,,,Hinds County Letter Page1.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/freedom-rider,,
7447,1,0,,photographs,1989-06-10 ,ex,rd,nnc-rb,Ulysses Kay Papers,eng,"Box 80, Folder 74","Bronx, New York",,Maher Photo,"June 10, 1989",Ulysses Kay with Guests and Performers at the Lehman College Ulysses Kay Tribute Concert,eng,,"Herbert H. Lehman College. Department of Music|Kay, Ulysses, 1917-1995",,,,,Lehman Tribute concert001.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/lehman-college/retirement-concert,,
