partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,_project.string_key,relatedItem_project,form-2:form_term.uri,form-2:form_term.value,title-1:title_sort_portion,location-1:location_term.uri,location-1:location_term.code,_digital_object_type.string_key,location-1:location_term.value,title-1:title_non_sort_portion,date_created-1:date_created_type,location-1:location_term.authority,_parent_digital_objects-1.identifier,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,collection-1:collection_term.uri,date_created-1:date_created_start_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-1:note_type,note-1:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,object_in_context_url-1:object_in_context_url_value,abstract-1:abstract_value,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_title-1:subject_title_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.value,subject_topic-1:subject_topic_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,place_of_origin-2:place_of_origin_value,use_and_reproduction-1:use_and_reproduction_value,date_created-1:date_created_end_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,note-4:note_type,note-4:note_value,collection-2:collection_term.uri,collection-2:collection_term.value,clio_identifier-1:clio_identifier_value,note-7:note_type,note-7:note_value
 , , ,filename,Ulysses and Barbara Kay in Assisi 001.jpg, ,Ulysses Kay: Twentieth Century Composer, ,photographs,Ulysses and Barbara Kay in Assisi, , , ,pvt-coll, ,in,local, ,reformatted digital,Still Image,7589,between 1949 and 1952, ,1949, ,eng,iso639-2, ,Date inferred from Ulysses Kay's American Academy in Rome tenure dates.,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/prix-de-rome,, , , , , ,"Kay, Ulysses, 1917-1995|Kay, Barbara, 1925-1997", , , , , , , , , , ,"Assisi, Italy",,1952,,,,, ,Kay Family,,,
 , , ,filename,Ulysses and Barbara Kay in Rome Academy 001.jpg, ,Ulysses Kay: Twentieth Century Composer, ,photographs,Ulysses and Barbara Kay at American Academy, , , ,pvt-coll, ,in,local, ,reformatted digital,Still Image,7588,between 1949 and 1952, ,1949, ,eng,iso639-2, ,Date inferred from Ulysses Kay's American Academy in Rome tenure dates., ,"Driggs, Frank", , , , , ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/prix-de-rome,, , , , , ,"Kay, Ulysses, 1917-1995|Kay, Barbara, 1925-1997", , , , , , , , , , ,"Rome, Italy",,1952,,,,, ,Kay Family,,,
 , , ,filename,Kay Navy Dance Band 001.jpg, ,Ulysses Kay: Twentieth Century Composer, ,photographs,United States Navy Dance Band, , , ,pvt-coll, ,ap,local, ,reformatted digital,Still Image,7587,circa 1943, ,1943, ,eng,iso639-2,,, ,Paramount Studio, , , , , ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/kay/u-s--navy-and-columbia/navy-band,, , , , , ,United States Navy Dance Band, , , , , , , , , , ,"Providence, Rhode Island",,,,,,, ,Kay Family,,,
 , , ,filename,Kay Navy Band 001.jpg, ,Ulysses Kay: Twentieth Century Composer, ,photographs,United States Naval Training School of Indoctrination Band, , , ,pvt-coll, ,ex,local, ,reformatted digital,Still Image,7586,"March, 1943", ,1943-03, ,eng,iso639-2,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/kay/u-s--navy-and-columbia/navy-band,, , , , , ,United States Naval Training School of Indoctrination Band, , , , , , , , , , ,"Quonset Point, Rhode Island",,,,,,, ,Kay Family,,,
 , , ,filename,Stokowski Tribute program004.jpg, ,Ulysses Kay: Twentieth Century Composer, ,printed ephemera,"Tribute to Leopold Stokowski celebrating his 90th birthday, unnumbered page", , , ,nnc-rb, ,ex,local, ,reformatted digital,Still Image,7452,"April 18, 1972", ,1972-04-18, ,eng,iso639-2,,,,,,,,,,holdings, ,"Programs, 1972", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/three-fanfares-for-four-trumpe,"Program contents, which include Fanfares by Ulysses Kay", , , , , ,"Stokowski, Leopold, 1882-1977", , , , , , , , , , ,,,,,,,,,,,,
 , , ,filename,Stokowski Tribute cover003.jpg, ,Ulysses Kay: Twentieth Century Composer, ,printed ephemera,"Tribute to Leopold Stokowski celebrating his 90th birthday, front cover", , , ,nnc-rb, ,ex,local, ,reformatted digital,Still Image,7451,"April 18, 1972", ,1972-04-18, ,eng,iso639-2,,,,,,,,,,holdings, ,"Programs, 1972", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/three-fanfares-for-four-trumpe,Program includes Fanfares by Ulysses Kay; includes photograph of Leopold Stokowski., , , , , ,"Stokowski, Leopold, 1882-1977", , , , , , , , , , ,,,,,,,,,,,,
 , , ,filename,Englewood Movement Record Photo009.jpg, ,Ulysses Kay: Twentieth Century Composer, ,clippings,Demonstrators Jailed, , , ,pvt-coll, ,ex,local, ,reformatted digital,Still Image,7450,"February 3, 1962", ,1962-02-03, ,eng,iso639-2,,, ,"Record (Hackensack, N.J.) ", , , , , ,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/englewood-movement,Newspaper clipping of the front page of the Record. Shows a photograph of Barbara Kay and Mrs. Byron Baer being arrested for protesting as part of the Englewood Movement. , , , , , ,"Englewood (N.J.) Movement|Kay, Barbara, 1925-1997", , , , , , , , , , ,,,,Bergen Evening Record Corporation,"Hackensack, New Jersey",,, ,Loaned by Virginia Kay,,original,"Record (Hackensack, N.J.), front page"
 , , ,filename,Hinds County Letter Page2.jpg, ,Ulysses Kay: Twentieth Century Composer, ,correspondence,"Letter to Ulysses Kay from Hinds County Jail, back", , , ,nnc-rb, ,ex,local, ,reformatted digital,Still Image,7449,"July 7, 1961", ,1961-07-07, ,eng,iso639-2,,, ,"Kay, Barbara, 1925-1997|Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 85, Folder 9", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/freedom-rider,"Letter from Barbara Kay to her husband Ulysses Kay. Barbara Kay participated in the Mississippi Freedom Rides during the summer of 1961. Arrested in Jackson, she was held in three jails including the Parchman Penitentiary for a total of about 60 days, after receiving a four-month sentence for ""Breach of the Peace."" ", , , , , ,"Freedom Rides, 1961", , , , , , , , , , ,"Jackson, Mississippi",,,,,,,,,,,
 , , ,filename,Hinds County Letter Page1.jpg, ,Ulysses Kay: Twentieth Century Composer, ,correspondence,"Letter to Ulysses Kay from Hinds County Jail, front", , , ,nnc-rb, ,ex,local, ,reformatted digital,Still Image,7448,"July 7, 1961", ,1961-07-07, ,eng,iso639-2,,, ,"Kay, Barbara, 1925-1997|Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 85, Folder 9", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/freedom-rider,"Letter from Barbara Kay to her husband Ulysses Kay. Barbara Kay participated in the Mississippi Freedom Rides during the summer of 1961. Arrested in Jackson, she was held in three jails including the Parchman Penitentiary for a total of about 60 days, after receiving a four-month sentence for ""Breach of the Peace."" ", , , , , ,"Freedom Rides, 1961", , , , , , , , , , ,"Jackson, Mississippi",,,,,,,,,,,
 , , ,filename,Lehman Tribute concert001.jpg, ,Ulysses Kay: Twentieth Century Composer, ,photographs,Ulysses Kay with Guests and Performers at the Lehman College Ulysses Kay Tribute Concert, , , ,nnc-rb, ,ex,local, ,reformatted digital,Still Image,7447,"June 10, 1989", ,1989-06-10, ,eng,iso639-2,,, ,Maher Photo, , , , , ,holdings, ,"Box 80, Folder 74", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/lehman-college/retirement-concert,, , , , , ,"Herbert H. Lehman College. Department of Music|Kay, Ulysses, 1917-1995", , , , , , , , , , ,"Bronx, New York",,,,,,,,,,,
