	identifier_omeka,item - public,item - featured,shelfLocator,keyDate_start,form,dateQualifier,physicalLocation,digitalOrigin,languageOfCataloging,title,relatedItem_collection,name_primary,abstract,language,note_filename,typeOfResource,relatedItem_Project
5403,1,0,Box 24|Gumby's Autobiography: Number 6,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 6, p. [9]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring a photograph captioned ""Gumby at Columbia University 1949"" and a copy of the Columbia Library World in a sleeve",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga06_013_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5402,1,0,Box 24|Gumby's Autobiography: Number 6,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 6, p. [8]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, featuring a clipping from Caricature entitled ""Gumby's Scrapbooks: Valuable Gift to Columbia""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga06_012_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5401,1,0,Box 23|Gumby's Autobiography: Number 5,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 5, p. [54]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, featuring a photograph of Gumby (holding glasses and pipe) and the handwritten caption ""In The Revella Hotel Gumby 1950""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga05_058_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5400,1,0,Box 22|Gumby's Autobiography: Number 4,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 4, p. [17] [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto with flap open features an assortment of photographs, with clipping that reads ""Two Swell Pals to Have Around""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga04_021_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5399,1,0,Box 22|Gumby's Autobiography: Number 4,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 4, p. [17] [closed]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page with flap closed featuring a photograph and clipped poem titled ""The Friend Who Just Stands By""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga04_021_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5398,1,0,Box 22|Gumby's Autobiography: Number 4,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 4, p. [16] [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso with flap open features a mix of photographs and signatures, as well as clipping at top that says ""memories that are hard to forget""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga04_020_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5397,1,0,Box 22|Gumby's Autobiography: Number 4,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 4, p. [16] [closed]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page with closed flap featuring ""They're All Glamorous"" clipping",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga04_020_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5396,1,0,Box 21|Gumby's Autobiography: Number 3,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Autobiography in Scrapbooks: Number 3, p. [45]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, with clippings that read: ""Gumby's Book Studio: The Negro 'Renaissance'""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_ga03_049_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5395,1,0,Box 19|Scrapbook 149,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"James Stewart, pt. 2, p. [113]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring a collage of ticket stubs in various colors",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0149_115_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5394,1,0,CMI Box 170|Scrapbook 145,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Odd, Strange and Curious, p. [19]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring engravings of the Herald Building, the New Casino, and the Metropolitan Opera House, as well as three clippings about New York history",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0145_021_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
