relatedItem_collection,name 1,name_authority 1,name_authority_identifier 1,name 2,name_authority 2,name_authority_identifier 2,name 3,name_authority 3,name_authority_identifier 3,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation_authority,shelfLocator,sublocation,note,note_filename 1,note_filename 2,digitalOrigin,extent,form,form_authority,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project_nonSort,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,note_relatedItem,accessCondition,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,title,identifier_title,partName,title2,title2_type,item - public,item - featured
"Varsity Show Records (Flat Files), UA#0106, 1894-","Gunn, Archie",,,,,,,,,1909,,,1909,"Original oversized poster for 1909 Varsity Show ""In Newport""",,4219,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files, Map Case, drawer 8",,,varsity_100129038,,reformatted digital,"37"" x 25.5""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,In Newport poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",H.P. ??,,,,,,,,,1909,,,1909,"Printed poster advertising 1909 Varsity Show ""In Newport"" featuring the image of a can can girl.",,4218,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files, Map Case, drawer 8",,,varsity_100129037,,reformatted digital,"22.25"" x 14""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,In Newport poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",H.P. ??,,,,,,,,,1909,,,1909,"Original pen and ink sketch of a can can girl for use in a poster advertising the 1909 Varsity Show ""In Newport""",,4217,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files Box 4, folder 1",,,varsity_100129036,,reformatted digital,"13.5"" x 10.75""",,,drawings (visual works),,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,Drawing,,,,,,,,,Pen sketch of can can girl for In Newport poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",,,,,,,,,,1912,,,1912,"Original poster for 1912 Varsity Show ""The Mysterious Miss Apache""",,4216,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files Box 14, folder 4",,,varsity_100129035,,reformatted digital,"22"" x 14""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,The Mysterious Miss Apache poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",,,,,,,,,,1911,,,1911,"Original poster for 1911 Varsity Show ""Made in India""",,4215,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files Box 14, folder 4",,,varsity_100129034,,reformatted digital,"14"" x 11""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,Made in India poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",,,,,,,,,,1944,,,1944,"Original poster for 1944 Varsity Show ""On the Double""",,4214,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,"UA Flat Files Box 14, folder 3",,,varsity_100129033,,reformatted digital,"14"" x 22""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,On The Double poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",,,,,,,,,,1938,,,1938,"Original poster for 1938 Varsity Show ""You've Got Something There""",,4213,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files Box 14, folder 3",,,varsity_100129032,,reformatted digital,"22.5"" x 14""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,You've Got Something There poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",S.R.,,,,,,,,,1955,,,1955,"Original poster (w/glitter) for 1955 Varsity Show ""When in Rome""",,4212,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/pony/intro,NNC-UA,"UA Flat Files Box 14, folder 2",,,varsity_100129031,,reformatted digital,"18"" x 14""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,When in Rome poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-",,,,,,,,,,1954,,,1954,"Original poster (w/glitter) for 1954 Varsity Show ""The Sky's The Limit""",,4211,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,"UA Flat Files Box 14, folder 2",,,varsity_100129030,,reformatted digital,"18"" x 14""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,The Sky's The Limit poster,,,,,1,0
"Varsity Show Records (Flat Files), UA#0106, 1894-","Green, Holm",,,,,,,,,1923,,,1923,"Original poster for 1923 Varsity Show ""Half-Moon Inn""",,4210,still image,English,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,"UA Flat Files Box 13, folder 3",,,varsity_100129029,,reformatted digital,"14.25"" x 9""",,,posters,,,,The,Varsity Show: A Columbia Tradition,,,,eng,,,College musicals,,,,,,,,,Half-Moon Inn poster,,,,,1,0
