relatedItem_collection,name_primary,name_primary_type,name_primary_Relator,name_primary_authority,name_primary_authority_identifier,name 2,name_type_2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,name_type 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,name_type 4,nameRelator 4,name_authority 4,name_authority-identifier 4,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note 1,note_holdings,note_filename 1,note_filename 2,digitalOrigin,extent,form,form_authority,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project_nonSort,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,relatedItem_note,accessCondition,subject_topic 1,subject_topic_authority 1,subject_topic_authority_identifier 1,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,title,title_nonSort,identifier_title,partName,title2,title2_type,item - public,item - featured
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1994),conference,,,,,,,,,,,,,,1994-04,,,Apr-94,"Flyer advertising Varsity Show ""Angels at Columbia: Centennial Approaches"" (1994)",,omeka_4204,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"Box 17, folder 5",,,UA#0106,varsity_100129023,,reformatted digital,"8.5"" x 11""",printed ephemera,aat,fliers (printed matter),,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Angels at Columbia: Centennial Approaches,,varsityshow_aac_000,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1994),conference,,,,,,,,,,,,,,1994-04,,,Apr-94,"Flyer advertising Varsity Show ""Angels at Columbia: Centennial Approaches"" (1994)",,omeka_4204,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"Box 17, folder 5",,,UA#0106,varsity_100129023,,reformatted digital,"8.5"" x 11""",printed ephemera,aat,fliers (printed matter),,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Angels at Columbia: Centennial Approaches,,varsityshow_aac,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1994),conference,,,,,,,,,,,,,,1994-04,,,Apr-94,"Program cover for Varsity Show ""Angels at Columbia: Centennial Approaches"" (1994)",,omeka_4203,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 17, folder 5",,,UA#0106,varsity_100129022,,reformatted digital,"8.5"" x 11""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Angels at Columbia: Centennial Approaches,,varsityshow_aca_001,Cover,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1994),conference,,,,,,,,,,,,,,1994-04,,,Apr-94,"Program cover for Varsity Show ""Angels at Columbia: Centennial Approaches"" (1994)",,omeka_4203,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 17, folder 5",,,UA#0106,varsity_100129022,,reformatted digital,"8.5"" x 11""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Angels at Columbia: Centennial Approaches,,varsityshow_aca,,,,1,0
Columbiana,"Ford, Corey, 1902-1969",personal,aut,naf,http://id.loc.gov/authorities/names/n50024813,"Webb, Roy, 1888-1982",personal,cmp,naf,http://id.loc.gov/authorities/names/n87911954,"Watkins, Morris W.",personal,cmp,,,Alumni Federation of Columbia University,corporate,,naf,http://id.loc.gov/authorities/names/n87895442,1923,,,1923,"Music and Lyrics for ""Roar Lion Roar""","CLIO_6319403
",omeka_4182,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/song/roar,NNC-UA,marcorg,CP3 Al8211,,"Corey Ford, Class of 1923, Roy Webb, Class of 1910, Morris W. Watkins, Class of 1924",,Order#100149001.jpg,Order#100149002.jpg,reformatted digital,"7.5"" x 11""",printed ephemera,aat,songbooks,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,Alumni Federation of Columbia University,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Students' songs,fast,http://id.worldcat.org/fast/1136161,,,,,,,Columbia Songs,,varsityshow_csb_056,Pages 56-59,,,1,0
Columbiana,"Ford, Corey, 1902-1969",personal,aut,naf,http://id.loc.gov/authorities/names/n50024813,"Webb, Roy, 1888-1982",personal,cmp,naf,http://id.loc.gov/authorities/names/n87911954,"Watkins, Morris W.",personal,cmp,,,Alumni Federation of Columbia University,corporate,,naf,http://id.loc.gov/authorities/names/n87895442,1923,,,1923,"Music and Lyrics for ""Roar Lion Roar""","CLIO_6319403
",omeka_4182,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/song/roar,NNC-UA,marcorg,CP3 Al8211,,"Corey Ford, Class of 1923, Roy Webb, Class of 1910, Morris W. Watkins, Class of 1924",,Order#100149001.jpg,Order#100149002.jpg,reformatted digital,"7.5"" x 11""",printed ephemera,aat,songbooks,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,Alumni Federation of Columbia University,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Students' songs,fast,http://id.worldcat.org/fast/1136161,,,,,,,Columbia Songs,,varsityshow_csb,,,,1,0
Varsity Show Records,,,,naf,,Varsity Show (Columbia University) (1982),conference,,,,,,,,,,,,,,1982,,,1982,"Program cover for Varsity Show ""Columbia University Graffiti"" (1982)",,omeka_4201,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"Box 16, folder 19",,,UA#0106,varsity_100129020,,reformatted digital,"8.5"" x 5.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Columbia University Graffiti,,varsityshow_cug_001,Cover,,,1,0
Varsity Show Records,,,,naf,,Varsity Show (Columbia University) (1982),conference,,,,,,,,,,,,,,1982,,,1982,"Program cover for Varsity Show ""Columbia University Graffiti"" (1982)",,omeka_4201,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/evolution,NNC-UA,marcorg,"Box 16, folder 19",,,UA#0106,varsity_100129020,,reformatted digital,"8.5"" x 5.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Columbia University Graffiti,,varsityshow_cug,,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1939),conference,,,,Columbia University Players,corporate,,,,,,,,,1939,,,1939,"Program cover for Varsity Show ""Fair Enough"" (1939)",,omeka_4195,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 11, folder 11",,,UA#0106,varsity_100129014,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, 1939",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Fair Enough,,varsityshow_fen_001,Cover,,,1,0
Varsity Show Records,,,,,,Varsity Show (Columbia University) (1939),conference,,,,Columbia University Players,corporate,,,,,,,,,1939,,,1939,"Program cover for Varsity Show ""Fair Enough"" (1939)",,omeka_4195,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 11, folder 11",,,UA#0106,varsity_100129014,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,"The Columbia Jester, 1939",,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Fair Enough,,varsityshow_fen,,,,1,0
