identifier_omeka,identifier_clio,location_url_physicalObject,item - public,item - featured,language,shelfLocator,digitalOrigin,form,form_authority,form 2,form_authority 2,form 3,form_authority 3,form_originalFormat,extent,physicalNote,note 1,note 2,note_ownership,relatedItem_collection,sublocation,physicalLocation,physicalLocation_authority,keyDate-start,keyDate-end,dateQualifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_name 3,subject_name_authority 3,subject_name_authority_identifier 3,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_geographic 1,subject_geographic_authority 1,subject_geographic_authority_identifier 1,subject_geographic 2,subject_geographic_authority 2,subject_geographic_authority_identifier 2,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonSort,title,title2,title2_type,identifier_title,partName,name_primary,name_primary_type,name_primary_authority,name_primary_authority_identifier,name_primary_role_code,name_primary_role_text,name,name_type,name_authority,name_authority_uri,role_code,role_text,dateCreated,publisher,place,place_authority,place_authority_identifier,abstract 1,abstract 2,note_filename 1,note_filename 2,typeOfResource,accessCondition,languageOfCataloging,location_url_ObjectInContext,relatedItem_Project,projectURL
8842,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1875,,,Geo. C. McEwen & Co.,,,,,,,,,Buildings,,,,,,,,,,,,"Street: North Moore Street, 97, 99 & 101",Borough: Manhattan,New York,New York,,United States,,,Geo. C. McEwen & Co.. Bill or receipt,,,,Recto,Geo. C. McEwen & Co.,corporate,,,,,Yardley (collector),personal,,,,,1875,,,,,,,ave_yardley_00250r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/northmoorestreet,John H. Yardley Collection of Architectural Letterheads,
8841,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1874,,,Geo. C. McEwen & Co.,,,,,,,,,Buildings,,,,,,,,,,,,"Street: North Moore Street, 99 & 101",Borough: Manhattan,New York,New York,,United States,,,Geo. C. McEwen & Co.. Bill or receipt,,,,Recto,Geo. C. McEwen & Co.,corporate,,,,,Yardley (collector),personal,,,,,1874,,,,,,,ave_yardley_00249r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/northmoorestreet,John H. Yardley Collection of Architectural Letterheads,
8840,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1884,,,J. Fitzpatrick & Co.,,,,,,,,,Buildings,,,,,,,,,,,,"Street: North Moore Street, 28 & 30",Borough: Manhattan,New York,New York,,United States,,,J. Fitzpatrick & Co.. Bill or receipt,,,,Recto,J. Fitzpatrick & Co.,corporate,,,,,Yardley (collector),personal,,,,,1884,,,,,,,ave_yardley_00248r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/northmoorestreet,John H. Yardley Collection of Architectural Letterheads,
8839,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1923,,,Bankers Trust Company,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Nassau Street, 154",Borough: Manhattan,New York,New York,,United States,,,Bankers Trust Company. Bill or receipt,,,,Recto,Bankers Trust Company,corporate,,,,,Yardley (collector),personal,,,,,1923,,,,,,,ave_yardley_00246r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/nassaustreet,John H. Yardley Collection of Architectural Letterheads,
8838,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1869,,,J. W. Fiske,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Nassau Street, 120",Borough: Manhattan,New York,New York,,United States,,,J. W. Fiske. Bill or receipt,,,,Recto,J. W. Fiske,corporate,,,,,Yardley (collector),personal,,,,,1869,,,,,,,ave_yardley_00245r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/nassaustreet,John H. Yardley Collection of Architectural Letterheads,
8837,,,1,0,,,reformatted digital,correspondence,,letter,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1924,,,"Leys, Christie & Co.",,,,,,,,,Buildings,,,,,,,,,,,,"Street: Nassau Street, 65",Borough: Manhattan,New York,New York,,United States,,,"Leys, Christie & Co. Letter",,,,Recto,"Leys, Christie & Co.",corporate,,,,,Yardley (collector),personal,,,,,1924,,,,,,,ave_yardley_00244r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/nassaustreet,John H. Yardley Collection of Architectural Letterheads,
8836,,,1,0,,,reformatted digital,correspondence,,letter,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1909,,,Meyer Bros,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Nassau Street, 59",Borough: Manhattan,New York,New York,,United States,,,Meyer Bros. Letter,,,,Recto,Meyer Bros,corporate,,,,,Yardley (collector),personal,,,,,1909,,,,,,,ave_yardley_00243r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/nassaustreet,John H. Yardley Collection of Architectural Letterheads,
8835,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1847,,,Charles King,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Nassau Street, 36",Borough: Manhattan,New York,New York,,United States,,,Charles King. Bill or receipt,,,,Recto,Charles King,corporate,,,,,Yardley (collector),personal,,,,,1847,,,,,,,ave_yardley_00242r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/nassaustreet,John H. Yardley Collection of Architectural Letterheads,
8834,,,1,0,,,reformatted digital,printed ephemera,,Other medium,,,,,,,Corner of Cedar,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,,,approximate,Continental Life Insurance Company,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Nassau Street, 26",Borough: Manhattan,New York,New York,,United States,,,Continental Life Insurance Company. Other medium,,,,Recto,Continental Life Insurance Company,corporate,,,,,Yardley (collector),personal,,,,,,,,,,,,ave_yardley_00241r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/nassaustreet,John H. Yardley Collection of Architectural Letterheads,
8833,,,1,0,,,reformatted digital,printed ephemera,,Bill or receipt,,,,,,,Corner College Place,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1886,,,Charles Vagt & Co.,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Murray Street, 60 & 62",Borough: Manhattan,New York,New York,,United States,,,Charles Vagt & Co. Bill or receipt,,,,Recto,Charles Vagt & Co.,corporate,,,,,Yardley (collector),personal,,,,,1886,,,,,,,ave_yardley_00240r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesl-r/murraystreet,John H. Yardley Collection of Architectural Letterheads,
