relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameRelator 2,nameType 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,abstract 2,item - featured,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note_filename,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,form_originalFormat 1,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,item - public,title_nonsort,title,partName,identifier_title,title2_nonsort,title2,title2_type
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1567,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.15,  Box:  21",,,,rbml_realia_p11.15,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of maid in black with white apron,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1566,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.14,  Box:  21",,,,rbml_realia_p11.14,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of boy in tricorne hat,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1565,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.13,  Box:  21",,,,rbml_realia_p11.13,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of queen in red dress,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1564,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.12,  Box:  21",,,,rbml_realia_p11.12,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of red-headed king,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Commedia dell'arte marionette: string jigging puppet. Draped in white with skull, arms, and legs showing.",,0,,1563,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.11,  Box:  21",,,,rbml_realia_p11.11,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Skeleton marionette,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1562,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.09,  Box:  21",,,,rbml_realia_p11.09,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of female in white with black buttons,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1561,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.08,  Box:  20",,,,rbml_realia_p11.08,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of red-headed male in white with black cap and buttons,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1560,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.07,  Box:  20",,,,rbml_realia_p11.07,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,"Marionette of, figure in white with black mask",,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette,,0,,1559,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.06,  Box:  20",,,,rbml_realia_p11.06,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Marionette of figure in white with black mask,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Commedia dell'arte marionette: string jigging puppet. Half mask; moustache; white collar; black cap,costume, belt, and shoes, gold spectacles. Black nose",,0,,1558,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.05,  Box:  20",,,,rbml_realia_p11.05,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Il Dottore marionette,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Commedia dell'arte marionette: string jigging puppet. Half mask; gray pointed beard; white collar; red cap and stockings; black belt, coat, and shoes.",,0,,1557,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.04,  Box:  20",,,,rbml_realia_p11.04,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Pantalone marionette,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette: string jigging puppet. One of the zanni. Half mask; beard; white collar; white costume trimmed with green bands; buff shoes; black belt ,,0,,1556,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.03,  Box:  20",,,,rbml_realia_p11.03,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Brighella marionette,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette: string jigging puppet. Full mask; white collar; buff shoes; black belt (same as 11.1 save for belt color and material),,0,,1555,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.02,  Box:  20",,,,rbml_realia_p11.02,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Arlecchino marionette,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Commedia dell'arte marionette: string jigging puppet. Full mask; white collar; buff shoes; red belt (same as 11.2 save for belt color),This set possibly France rather than Italy,0,,1554,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.01,  Box:  20",,,,rbml_realia_p11.01,reformatted digital," 7""",,,, ceramic ,Marionettes (stringed puppets) ,,,,Dramatic Museum Realia,,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,,,,,,,Italy,,,,,,,,,,1,,Arlecchino marionette,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,,,0,,1553,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P51.06a,  Box:  TSP41",,,,rbml_realia_tsp41,reformatted digital,,,,," skin, bamboo",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,"Head of Dasa Kanta Ravana, shadow puppet",,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Consists of limb & handle fragments. Possibly related to P51.01 (TSP33).,,0,,1552,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: TSP40,  Box:  TSP40",,,,rbml_realia_tsp40,reformatted digital,,,,," skin, bamboo",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,Indian shadow puppet,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,,,0,,1551,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P52.09,  Box:  TSP39",,,,rbml_realia_tsp39,reformatted digital," 53""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,Indian shadow puppet,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,inscription on both left and right breast regions,,0,,1550,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P51.03,  Box:  TSP38",,,,rbml_realia_tsp38,reformatted digital," 50""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,"Sita, shadow puppet",,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"inscription both sides of hip, puppet's left heel",,0,,1549,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P51.05,  Box:  TSP37",,,,rbml_realia_tsp37,reformatted digital," 54""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,"Supanaka, shadow puppet",,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"inscription on puppet's right foot, and abdomen",,0,,1548,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P52.08,  Box:  TSP36",,,,rbml_realia_tsp36,reformatted digital," 36""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,Indian shadow puppet,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,inscription below cheekbone,,0,,1547,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P51.04,  Box:  TSP35",,,,rbml_realia_tsp35,reformatted digital," 53""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,"Rakshana, shadow puppet",,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,inscription puppet's left arm,,0,,1546,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery1,NNC-RB,marcorg,"DM number: P52.07,  Box:  TSP34",,,,rbml_realia_tsp34,reformatted digital," 59""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,Indian shadow puppet,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,inscription on neck,TSP40 is possibly the missing arm.,0,,1545,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery2,NNC-RB,marcorg,"DM number: P51.01,  Box:  TSP33",,,,rbml_realia_tsp33,reformatted digital," 54""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,Rama shadow puppet,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,inscription on puppet's right foot,,0,,1544,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery2,NNC-RB,marcorg,"DM number: P51.06b,  Box:  TSP32",,,,rbml_realia_tsp32,reformatted digital," 56""",,,," skin, bamboo, string ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,"Body of Dasa Kanta Ravana, shadow puppet",,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,inscription on neck,,0,,1543,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_india/gallery2,NNC-RB,marcorg,"DM number: P52.06,  Box:  TSP31",,,,rbml_realia_tsp31,reformatted digital," 63""",,,," skin, bamboo, metal ",Shadow puppets ,,,,Dramatic Museum Realia,,,,eng,,,,,,,India,,,,,,,,,,1,,Indian shadow puppet,,,,,
