relatedItem_collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,location_url_ObjectInContext 2,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note_filename,digitalOrigin,extent,form,form_authority,item - public,place 1,place_authority 1,place_authority_identifier 1,place 2,place_authority 2,place_authority_identifier 2,place 3,place_authority 3,place_authority_identifier 3,place 4,place_authority 4,place_authority_identifier 4,relatedItem_Project,projectURL,note_ownership,publisher 1,publisher 2,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title,identifier_title,partName,title2,title2_type
,,,,,,,,,,,1835,,approximate,circa 1835,"Illustration from John Hannett's Bibliopegia, 1835.",0,CLIO_6181547,8541,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/arming_press/illustration,,NNC-RB,marcorg,,,"Hannett, John, 1803-1893. Bibliopegia; or, The art of bookbinding in all its branches.  London : Richard Groombridge; Oliver and Boyd, Edinburgh; W.F. Wakeman, Dublin; and W. Jackson, New York., 1835.",ARMPRESS.600.JPG,reformatted digital,,books,,1,,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,,,eng,,,,,,,,,,,,,,,,,,Imperial Arming Press,,Cover,,
,"Kipling, Rudyard, 1865-1936",,,,,,,,,,1899,,,1899,,0,CLIO_6916733,5029,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,,NNC-RB,marcorg,,,,GBF244.600.JPG,reformatted digital,,books,,1,New York,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,From the Library of Hilda Ward,T. Y. Crowell & Company,,eng,,,,,,,,,,,,,,,,,,Barrack Room Ballads and Other Poems,,Spine,,
,"Garland, Hamlin, 1860-1940",,,,,,,,,,1897,,,1897,,0,CLIO_5559610,5028,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,,NNC-RB,marcorg,,,Harper Library,GBF243.600.JPG,reformatted digital,,books,,1,New York,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,D. Appleton and Company,,eng,,,,,,,,,,,,,,,,,,Jason Edwards: an Average Man,,Spine,,
,"Southworth, Emma Dorothy Eliza Nevitte, 1819-1899",,,,,,,,,,1876,,,1876,,0,CLIO_5567995,5027,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,,NNC-RB,marcorg,,,,GBF242.600.JPG,reformatted digital,,books,,1,Philadelphia,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,T. B. Peterson & Brothers,,eng,,,,,,,,,,,,,,,,,,"Ishmael; or, In the Depths",,Spine,,
,"Trollope, Anthony, 1815-1882",,,,,,,,,,1873,,,1873,,0,CLIO_7468807,5026,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/introduction,NNC-RB,marcorg,,,,GBF241.600.JPG,reformatted digital,Three Volumes,books,,1,London,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Mollie Harris Samuels,Chapman and Hall,,eng,,,,,,,,,,,,,,,,,,Eustace Diamonds,,"Volumes I - III, spines",,
,"Thomes, William Henry, 1824-1895",,,,,,,,,,1872,,,1872,,0,CLIO_5573141,5025,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,GBF240.600.JPG,reformatted digital,,books,,1,Boston,,,New York,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,Lee and Shepard; New York,"Lee, Shepard and Dillingham",eng,Series: The Ocean Life Series,,,,,,,,,,,,,,,,,Whaleman's Adventures in the Sandwich Islands and California,,Spine,,
,"Calverley, Charles Stuart, 1831-1884",,,,,,,,,,1872,,,1872,Second Edition.,0,CLIO_748483,5024,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,GBF239.600.JPG,reformatted digital,,books,,1,Cambridge,,,London,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of William H. W. Sabine,"Deighton, Bell, and Co",Bell and Daldy,eng,,,,,,,,,,,,,,,,,,Fly Leaves,,Spine,,
,"Nelly, Kate J.",,,,,,,,,,1869,,,1869,,0,CLIO_6150327,5022,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,GBF237.600.JPG,reformatted digital,,books,,1,Boston,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Frances Henne,Lee and Shepard,,eng,Series: The Proverb Series,,,,,,,,,,,,,,,,,Fine Feathers Do Not Make Fine Birds,,Spine,,
,"Keim, De B. Randolph (De Benneville Randolph), 1841-1914",,,,,,,,,,1870,,,1870,,0,CLIO_6132729,5023,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,GBF238.600.JPG,reformatted digital,,books,,1,Philadelphia,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,"Claxton, Remsen & Haffelfinger",,eng,,,,,,,,,,,,,,,,,,Sheridan's Troopers on the Borders: a Winter Campaign on the Plains,,Spine,,
,"Hillyard, W. Heard (William Heard)",,,,,,,,,,1867,,,1867,,0,CLIO_5558473,5020,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,GBF235.600.JPG,reformatted digital,,books,,1,New York,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Morris H. Saffron,James Miller,,eng,,,,,,,,,,,,,,,,,,"Little Trapper, and Other Stories",,Spine,,
