relatedItem_collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,nameType 4,nameRelator 4,name_authority 4,name_authority_identifier 4,name 5,nameType 5,nameRelator 5,name-authority 5,name_authority_identifier 5,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,location_url_ObjectInContext 2,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note_filename,digitalOrigin,extent,form,form_authority,place 1,place_authority 1,place_authority_identifier 1,place 2,place_authority 2,place_authority_identifier 2,place 3,place_authority 3,place_authority_identifier 3,place 4,place_authority 4,place_authority_identifier 4,relatedItem_Project,projectURL,note_ownership,publisher 1,publisher 2,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_topic 3,subject_topic_authority 3,subject_topic_authority_identifier 3,subject_topic 4,subject_topic_authority 4,subject_topic_authority_identifier 4,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,,,,,,,,,,,,,,,,,,,,,,,,,,1835,,approximate,circa 1835,"Illustration from John Hannett's Bibliopegia, 1835.",0,1,CLIO_6181547,omeka_8541,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/arming_press/illustration,,NNC-RB,marcorg,,,"Hannett, John, 1803-1893. Bibliopegia; or, The art of bookbinding in all its branches.  London : Richard Groombridge; Oliver and Boyd, Edinburgh; W.F. Wakeman, Dublin; and W. Jackson, New York., 1835.",,ARMPRESS.600.JPG,reformatted digital,,illustrations,gmgpc,,,,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,,,eng,,Printing presses,fast,http://id.worldcat.org/fast/1076775,,,,,,,,,,,,,,,,,,,,,,,,,The ,Imperial Arming Press,judgingbookcover_iap_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Kipling, Rudyard, 1865-1936",personal,aut,naf,http://id.loc.gov/authorities/names/n79103792,"Dole, Nathan Haskell, 1852-1935",personal,aui,naf,http://id.loc.gov/authorities/names/n50027251,,,,,,,,,,,,,,,,1899,,,1899,,0,1,CLIO_6916733,omeka_5029,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,,NNC-RB,marcorg,,,,,GBF244.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,From the Library of Hilda Ward,T. Y. Crowell & Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Flowers,fast,http://id.worldcat.org/fast/927866,,,,,,,,,,,,,,,,,,,,Barrack Room Ballads and Other Poems,judgingbookcover_brb_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Garland, Hamlin, 1860-1940",personal,aut,naf,http://id.loc.gov/authorities/names/n80045857,,,,,,,,,,,,,,,,,,,,,1897,,,1897,,0,1,CLIO_5559610,omeka_5028,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,,NNC-RB,marcorg,,,Harper Library,,GBF243.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,D. Appleton and Company,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Cornstalks,fast,http://id.worldcat.org/fast/879493,,,,,,,,,,,,,,,,,,,,Jason Edwards: an Average Man,judgingbookcover_jea_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Southworth, Emma Dorothy Eliza Nevitte, 1819-1899",personal,aut,naf,http://id.loc.gov/authorities/names/n80131157,,,,,,,,,,,,,,,,,,,,,1876,,,1876,,0,1,CLIO_5567995,omeka_5027,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,,NNC-RB,marcorg,,,,,GBF242.600.JPG,reformatted digital,,books,aat,Philadelphia (Pa.),naf,http://id.loc.gov/authorities/names/n78095520,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,T. B. Peterson & Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Flowers,fast,http://id.worldcat.org/fast/927866,,,,,,,,,,,,,,,,,,,,"Ishmael; or, In the Depths",judgingbookcover_iid_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Trollope, Anthony, 1815-1882",personal,aut,naf,http://id.loc.gov/authorities/names/n78089077,,,,,,,,,,,,,,,,,,,,,1873,,,1873,,0,1,CLIO_7468807,omeka_5026,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/introduction,NNC-RB,marcorg,,,,Three Volumes,GBF241.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Mollie Harris Samuels,Chapman and Hall,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,,,,,,,,,,,,,,,,,,,,,,The ,Eustace Diamonds,judgingbookcover_eud_001,"Volumes I - III, Spines",,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Thomes, William Henry, 1824-1895",personal,aut,naf,http://id.loc.gov/authorities/names/n86811716,,,,,,,,,,,,,,,,,,,,,1872,,,1872,,0,1,CLIO_5573141,omeka_5025,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,,GBF240.600.JPG,reformatted digital,,books,aat,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,Lee and Shepard; New York,"Lee, Shepard and Dillingham",eng,Series: The Ocean Life Series,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Ships,fast,http://id.worldcat.org/fast/1116439,,,,,,,,,,,,,,,,,,,The ,Whaleman's Adventures in the Sandwich Islands and California,judgingbookcover_was_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Calverley, Charles Stuart, 1831-1884",personal,aut,naf,http://id.loc.gov/authorities/names/n50032197,,,,,,,,,,,,,,,,,,,,,1872,,,1872,Second Edition.,0,1,CLIO_748483,omeka_5024,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,,GBF239.600.JPG,reformatted digital,,books,aat,Cambridge (Mass.),naf,http://id.loc.gov/authorities/names/n79061258,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of William H. W. Sabine,"Deighton, Bell, and Co",Bell and Daldy,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,,,,,,,,,,,,,,,,,,,,,,,Fly Leaves,judgingbookcover_fly_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Nelly, Kate J.",personal,aut,,,,,,,,,,,,,,,,,,,,,,,1869,,,1869,,0,1,CLIO_6150327,omeka_5022,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,,GBF237.600.JPG,reformatted digital,,books,aat,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Frances Henne,Lee and Shepard,,eng,Series: The Proverb Series,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Peafowl,fast,http://id.worldcat.org/fast/1055972,,,,,,,,,,,,,,,,,,,,Fine Feathers Do Not Make Fine Birds,judgingbookcover_ffd_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Keim, De B. Randolph (De Benneville Randolph), 1841-1914",personal,aut,naf,http://id.loc.gov/authorities/names/n50048958,,,,,,,,,,,,,,,,,,,,,1870,,,1870,,0,1,CLIO_6132729,omeka_5023,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,,GBF238.600.JPG,reformatted digital,,books,aat,Philadelphia (Pa.),naf,http://id.loc.gov/authorities/names/n78095520,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,"Claxton, Remsen & Haffelfinger",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Horses,fast,http://id.worldcat.org/fast/960603,,,,,,,,,,,,,,,,,,,,Sheridan's Troopers on the Borders: a Winter Campaign on the Plains,judgingbookcover_stb_001,Spine,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Hillyard, W. Heard (William Heard)",personal,aut,naf,http://id.loc.gov/authorities/names/nr92035557,,,,,,,,,,,,,,,,,,,,,1867,,,1867,,0,1,CLIO_5558473,omeka_5020,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,,NNC-RB,marcorg,,,,,GBF235.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Morris H. Saffron,James Miller,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Book spines,fast,http://id.worldcat.org/fast/836246,Trappers,fast,http://id.worldcat.org/fast/1155496,,,,,,,,,,,,,,,,,,,The ,"Little Trapper, and Other Stories",judgingbookcover_lto_001,Spine,,
