item - itemId,item - public,item - featured,item - MODS - Collection,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - RepositoryName - code - authority,item - MODS - ShelfLocation,item - DublinCore - Date,item - MODS - KeyDate - Single/Start,item - MODS - TypeofDate,item - DublinCore - Title - Display,item - DublinCore - Title - Work,item - DublinCore - Title - Work - Identifier,item - DublinCore - Title - Part,item - DublinCore - Identifier,Original Work URL,item - DublinCore - Description,Subject - Geographic,Subject - Geographic - Authority,Subject - Geographic - Authority - Identifier,Subject 1 - Topic,Subject 1 - Topic - Authority,Subject 2 - Topic,Subject 2 - Topic - Authority,Subject 3 - Topic,Subject 3 - Topic - Authority,Subject 3 - Topic - Authority - Identifier,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - MODS - FormGenre,item - MODS - FormGenre - authority,item - OmekaCollection,item - MODS - LanguageofCataloging,item - DublinCore - Language,item - MODS - DigitalOrigin,project URL,item in context 1,item in context 2
,,,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,Box 1. Folder 1,1919?,1919,questionable,Korean Independence Movement,Korean Independence Movement,kim,,CLIO_7705012,http://www.columbia.edu/cgi-bin/cul/resolve?clio7705012,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,,,pamphlets,aat,Korean Independence Outbreak Movement,eng,eng,,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,,
,,,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,Box 1. Folders 2-11,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919","Korean Independence Outbreak Beginning, March 1st, 1919",kio,,CLIO_7703837,http://www.columbia.edu/cgi-bin/cul/resolve?clio7703837,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,,,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,,
2440,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J10","Korean Independence Outbreak Beginning, March 1st, 1919",kio_144,Part 10. Page J10,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_11,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j10,
2439,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J9","Korean Independence Outbreak Beginning, March 1st, 1919",kio_143,Part 10. Page J9,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_10,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j9,
2438,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J8","Korean Independence Outbreak Beginning, March 1st, 1919",kio_142,Part 10. Page J8,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_09,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j8,
2437,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J7","Korean Independence Outbreak Beginning, March 1st, 1919",kio_141,Part 10. Page J7,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_08,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j7,
2436,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J6","Korean Independence Outbreak Beginning, March 1st, 1919",kio_140,Part 10. Page J6,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_07,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j6,
2435,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J5","Korean Independence Outbreak Beginning, March 1st, 1919",kio_139,Part 10. Page J5,,,Genesis of the Korean independent movement,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_06,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j5,
2434,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J4","Korean Independence Outbreak Beginning, March 1st, 1919",kio_138,Part 10. Page J4,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_05,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j4,
2433,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J3","Korean Independence Outbreak Beginning, March 1st, 1919",kio_137,Part 10. Page J3,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_04,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j3,
