item - public,item - itemId,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - FormGenre,item - MODS - Notes,item - MODS - ShelfLocation,item - MODS - Collection,item - MODS - PublicationPlace,item - MODS - PlaceofOrigin,item - MODS - PublicationDate,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Publisher,item - DublinCore - Description,item - DublinCore - Source,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - OmekaCollection,item - ItemInContext,item - AdditionalItemMetadata - RightsHolder,project URL
1,7254,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1996-10-19,,photographs,,,,,New York,,Jack Beeson delivering Music Centennial Luncheon address,Jack Beeson delivering Music Centennial Luncheon address,,,,,,eng,"October 19, 1996","Winter, Damon",,,,,"Beeson, Jack, 1921-2010",,,,original filename: Jack Beeson Centennial Lunch.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/the-centennial-celebrations/from-the-chair-of-the-centenni,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7250,approximate,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1930,1952,photographs,,"Box 9, Beveridge, Lowell Pierson",Historical Photograph collection,,,,Lowell Pierson Beveridge,Lowell Pierson Beveridge,,,,,,eng,between 1930 and 1952?,,,,,,"Beveridge, Lowell P.",,,,"original filename: Beveridge, Lowell Pierson.jpg",still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-librarianship/librarians,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7249,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1951,1990,correspondence,,,Vladimir Ussachevsky papers,,,,Notes on Ampex 400 Tape Recorder,Notes on Ampex 400 Tape Recorder,,,,,,eng,after 1951,"Ussachevsky, Vladimir, 1911-1990",,,,,,,,,original filename: Ussachevsky Tape Recorder.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/electronic-and-computer-music/vladimir-ussachevsky,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7248,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1912,,books,,,Edward A. MacDowell Papers,Boston (Mass.),,,Critical and Historical Essays: Lectures Delivered at Columbia University. Table of Contents,Critical and Historical Essays: Lectures Delivered at Columbia University,Table of Contents,,,,,eng,1912,"MacDowell, Edward, 1860-1908",,Arthur P. Schmidt,,,,,,,original filename: MacDowell Table of Contents.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/macdowell-era,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7247,,reformatted digital,"Art Properties, Columbia University",NyNyCAP,eng,1979,,paintings,,,,,,,Jack Beeson,Jack Beeson,,,,,,eng,1979,"Neel, Alice, 1900-1984",,,Oil painting,,,,,,original filename: Jack_Beeson_99_3.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/chairpersons/chairpersons,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7246,,reformatted digital,,,eng,1996,,illustrations,,,,,,,Calculating Tonal Tension. Diagram,Calculating Tonal Tension,Diagram,,,,,eng,1996,"Lerdahl, Fred, 1943-",,,,"Music Perception: 13/3, Spring 1996",,,,,original filename: http___pao.chadwyck.bmp,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-theory/music-theory-today,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7245,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1937,,ephemera,,Box 21,Douglas Moore papers,,,,Humanities MB1 RMB1,Humanities MB1 RMB1,,,,,,eng,circa 1937,"Moore, Douglas, 1893-1969",,,Typescript with manuscript notes,,,,,,original filename: Moore Box 21 Humanities MB1.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/music-humanities,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7244,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1959,,photographs,,,,,New York,,Ussachevsky and Delegation of Russian Composers,Ussachevsky and Delegation of Russian Composers,,,,,,eng,1959,,,,,,"Ussachevsky, Vladimir, 1911-1990",Composers,Low Memorial Library,,original filename: Soviet Musicians visit Columbia 001.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7243,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1959,,photographs,,,,,,,"RCA Mark II Sound Synthesizer, Prentis Hall","RCA Mark II Sound Synthesizer, Prentis Hall",,,,,,eng,1959,,,,,,Synthesizer (Musical instrument),,,,original filename: RCA Synthesizer.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7242,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1938-11-05,,clippings,,"Box 136, folder 4, Herzog",Historical biographical files,,,,Professor George Herzog,Professor George Herzog,,,,,,,1938 November 5,"Mitchell, Joseph",,,"Newspaper clipping, ""Primitive Music of Aborigines Is Preserved for Posterity,"" World-Telegram","World-Telegram: November 5, 1938","Herzog, George, 1901-1983",,,,original filename: Herzog newspaper clipping.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ethnomusicology/center-for-ethnomusicology,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
