item - itemId,item in context,item - public,item - featured,item - MODS - PhysicalDescription 1,item - MODS - PhysicalDescription 2,item - MODS - FormGenre,item - MODS - Notes,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Collection,item - MODS - ShelfLocation,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Publisher,item - DublinCore - Identifier,item - DublinCore - Description,item - DublinCore - Contributor,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - OriginalFileLoadedIntoOmeka 9,item - OriginalFileLoadedIntoOmeka 10,item - OriginalFileLoadedIntoOmeka 11,item - OriginalFileLoadedIntoOmeka 12,item - AdditionalItemMetadata - Provenance,item - AdditionalItemMetadata - SpatialCoverage,item - OmekaCollection,project URL,item - ItemType,item - ItemType - text
1,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-3,1,0,"2 pages, 1 envelope",3 images,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1929-03-04,,New York,,George A. Plimpton Papers,,"Letter to George Arthur Plimpton regarding honorary degree, March 4, 1929. Pages 1-2, envelope","Letter to George Arthur Plimpton regarding honorary degree, March 4, 1929","Pages 1-2, envelope",,,,,"Butler, Nicholas Murray, 1862-1947","Plimpton, George A. (George Arthur), 1855-1936",eng,"March 4, 1929","Plimpton, George A. (George Arthur), 1855-1936",,,,,,original filename: plmptn_109_001.jpg,original filename: plmptn_109_002.jpg,original filename: plmptn_109_003.jpg,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
2,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,1,0,2 pages,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1640,,Oxford (England),,Plimpton,Plimpton 190 1640 B13 (STC 1167),"Of the Advancement and Proficience of Learning, or, the Partitions of Sciences. Preliminary page, title page.","Of the Advancement and Proficience of Learning, or, the Partitions of Sciences","Preliminary page, title page","Partitions of Sciences. Preliminary page, title page",Partitions of Sciences,"Preliminary page, title page",alternative,"Bacon, Francis, 1561-1626",,eng,1640,Science,,Printed by Leon. Lichfield for Robert Young & Edward Forrest,CLIO_2451401,,,original filename: plmptn_054_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
3,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1922-03-04,,Washington (D.C.),,George A. Plimpton Papers,,"Telegram to George Arthur Plimpton, October 22, 1922","Telegram to George Arthur Plimpton, October 22, 1922",,,,,,"Harding, Warren G. (Warren Gamaliel), 1865-1923","Plimpton, George A. (George Arthur), 1855-1936",eng,"Oct. 22, 1922",American Red Cross,,,,,,original filename: plmptn_150_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
4,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-3,1,0,1 page,1 image,printed ephemera,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1895,1905,Wellesley (Mass.),,Plimpton Family Papers,,Wellesley College Library Bookplate,Wellesley College Library Bookplate,,,,,,Wellesley College Library,"Plimpton, Francis T. P. (Francis Taylor Pearsons), 1900-1983",eng,circa 1900,Wellesley College Library,,Wellesley College Library,,,,original filename: plmptn_100_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
5,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1403,1470,Verona (Italy),,Plimpton,Plimpton MS 102,Rhetorica ad Herennium. Page 2 recto,Rhetorica ad Herennium,Page 2 recto,,,,,Pseudo-Cicero,"Feliciano, Felice, active 15th century",lat,Mid 15th century,Rhetoric,,,,,,original filename: plmptn_023_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
6,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,1,0,1 photoprint,1 image,photographs,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1932,1934,Amherst (Mass.),,Plimpton Family Papers,,Amherst Class of 1876,Amherst Class of 1876,,,,,,Amherst College,,eng,circa 1933,Amherst College,,,,,,original filename: plmptn_162_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
7,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1455,1457,Germany,,Plimpton,Plimpton MS 188,Liber mahometi de Algebra. Page 73 recto,Liber mahometi de Algebra,Page 73 recto,,,,,"Khuwārizmī, Muḥammad ibn Mūsá, active 813-846",,lat,circa 1456,Mathematics,,,,,,original filename: plmptn_040_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
8,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-1,1,0,4 pages,4 images,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1902-04-03,,New York,,George A. Plimpton Papers,,"Letter to George A. Plimpton, April 3, 1902","Letter to George A. Plimpton, April 3, 1902",,,,,,"Brownell, S. B.","Plimpton, George A. (George Arthur), 1855-1936",eng,"Apr. 3, 1902",Women--Education,,,,,,original filename: plmptn_107_001.jpg,original filename: plmptn_107_002.jpg,original filename: plmptn_107_003.jpg,original filename: plmptn_107_004.jpg,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
9,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-4,1,0,2 pages,1 image,books,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1488,1492,Basel (Switzerland),,Incunabula,Goff A734,Computus cum Commento. 2 unnumbered pages,Computus cum Commento,2 unnumbered pages,,,,,Anianus,,lat,circa 1490,Calendar,,Lienhart Ysenhut,CLIO_1623605,,,original filename: plmptn_038_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
10,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,1,0,2 pages,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1666,,London (England),,Plimpton,Plimpton 092 1666 C64,"Arts Glory, or, The Pen-Mans Treasury. Preliminary page, title page","Arts Glory, or, The Pen-Mans Treasury","Preliminary page, title page","Pen-Mans Treasury. Preliminary page, title page",Pen-Mans Treasury,"Preliminary page, title page",alternative,"Cocker, Edward, 1631-1675",,eng,1666,Penmanship,,"Printed for, and are to be sold by John Overton",CLIO_1982310,,,original filename: plmptn_066_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
11,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-5,1,0,2 pages,2 images,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1876,,Manchester (N.H.),,Plimpton,Plimpton A091 1876 G21,Gaskell’s Complete Compendium of Elegant Writing. 2 unnumbered pages,Gaskell’s Complete Compendium of Elegant Writing,2 unnumbered pages,,,,,"Gaskell, G. A. (George A.), 1844-",,eng,1876,Penmanship,,Published at [Gaskell’s Bryant & Stratton] College,CLIO_1905301,,,original filename: plmptn_077_001.jpg,original filename: plmptn_077_002.jpg,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
13,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,1,0,6 cards,1 image,playing cards,52 cards. Imperfect: 2 cards missing (10 of clubs; 8 of diamonds),approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1698,1702,London (England),,Plimpton,Plimpton 478 1700 L54,"Gramaticall Cards, Comprising the Generall Rules of Lilley’s Gramer. 1 of clubs front, 2 of spades front, 5 of spades front, Queen of diamonds front, King of hearts front, Use card front","Gramaticall Cards, Comprising the Generall Rules of Lilley’s Gramer","1 of clubs front, 2 of spades front, 5 of spades front, Queen of diamonds front, King of hearts front, Use card front",,,,,"Lenthall, John,  stationer","Lily, William, 1468?-1522",eng,Circa 1700,Latin language--Grammar,,Sold by John Lenthall Stationer,,52 cards. Imperfect: 2 cards missing (10 of clubs; 8 of diamonds),,original filename: plmptn_049_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
14,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/reich/page-1,1,0,1 page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1503,,Freiburg im Breisgau (Germany),,Plimpton,Plimpton 080.7 1503 R27,Margarita Philosophica. Preliminary page,Margarita Philosophica,Preliminary page,,,,,"Reisch, Gregor, -1525",,lat,1503,"Encyclopedias and dictionaries, Latin",,Chalchographatum primiciali hac pressura Friburgi p[er] ioanne[m] Schottu[m] Argen[toraci],CLIO_2428665,,,original filename: plmptn_014_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
15,,1,0,1 photoprint,1 image,photographs,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1900,1925,Walpole (Mass.),,Plimpton Family Papers,,Lewis Farm,Lewis Farm,,,,,,,,eng,Early 20th century?,"Lewis Farm (Walpole, Mass.)",,,,,,original filename: plmptn_155_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
16,,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1926-08-18,,New York,,George A. Plimpton Papers,A091 1926 M78 (laid in),"Letter to George Arthur Plimpton, August 18th, 1926","Letter to George Arthur Plimpton, August 18th, 1926",,,,,,"Moore, Francis M. (Francis Marion), 1846-","Plimpton, George A. (George Arthur), 1855-1936",eng,"Aug. 18, 1926","Plimpton, George A. (George Arthur), 1855-1936",,,,,,original filename: plmptn_079_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
17,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-1,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1150,1199,Germany,,Plimpton,Plimpton MS 045,De Institutione Musica. Page 6? recto,De Institutione Musica,Page 6? recto,,,,,"Boethius, -524",,lat,Second half of 12th century,Music theory,,,,,,original filename: plmptn_042_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
18,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,1,0,1 page,1 image,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1467,1469,Florence (Italy),,Plimpton,Plimpton MS 136,Latin Grammar. Page 1? recto,Latin Grammar,Page 1? recto,,,,,,,lat,In or after 1467,Latin language--Grammar,,,,,,original filename: plmptn_007_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
19,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,1,0,pages 186-187,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1672,,London (England),,Plimpton,Plimpton 473 1672 C73,Orbis sensualium pictus. Pages 186-187,Orbis sensualium pictus,Pages 186-187,Commenius’s Visible World. Pages 186-187,Commenius’s Visible World,Pages 186-187,translated,"Comenius, Johann Amos, 1592-1670","Hoole, Charles, 1610-1667",lat,1672,Latin language,,"Printed by T. R. for S. Mearne, Book-binder",,,,original filename: plmptn_133_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
20,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1935-12-16,,New York,,Plimpton Family Papers,,"Letter to George Arthur Plimpton, Dec. 16, 1935","Letter to George Arthur Plimpton, December 16, 1935",,,,,,"Lamont, Thomas W. (Thomas William), 1870-1948","Plimpton, George A. (George Arthur), 1855-1936",eng,"Dec. 16, 1935",Phillips Exeter Academy,,,,,,original filename: plmptn_149_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
22,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,1,0,"title page, page 25",2 images,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1557,,London (England),,Plimpton,Plimpton 370 1557 EL9 (STC 7640),"Boke Named the Governour. Title page, page 25",Boke Named the Governour,"Title page, page 25",,,,,"Elyot, Thomas, Sir, 1490?-1546",,eng,1557,Kings and rulers--Duties,,Thomas Marsh,CLIO_6196599,,,original filename: plmptn_053_001.jpg,original filename: plmptn_053_002.jpg,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
23,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,1,0,1 page,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1789,,Elizabethtown,,Plimpton,Plimpton A910 1789 M83,"American Geography: or, A View of the Present Situation of the United States of America. Containing Astronomical Geography. Geographical Definitions. Discovery, and General Description of America. Title Page","American Geography: or, A View of the Present Situation of the United States of America. Containing Astronomical Geography. Geographical Definitions. Discovery, and General Description of America",Title page,,,,,"Morse, Jedidiah, 1761-1826",,eng,1789,United States--Description and travel,,Printed by Shepard Kollock for the Author,,,,original filename: plmptn_057_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
24,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,1,0,2 pages,1 image,books,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1490,1495,Leipzig (Germany),,Incunabula,Goff A461,Algorithmus Integrorum cum Probis Annexis. Page 5 verso - page 6 recto,Algorithmus Integrorum cum Probis Annexis,Page 5 verso - page 6 recto,,,,,"Widmann, Johannes, approximately 1460-approximately 1500",,lat,circa 1490-1495,Mathematics,,Martin Landsberg,CLIO_1623592,,,original filename: plmptn_033_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
25,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1917-01-09,,New York,,George A. Plimpton Papers,,"Telegram to George Arthur Plimpton, 9 January 1917","Telegram to George Arthur Plimpton, 9 January 1917",,,,,,"Holt, Hamilton, 1872-1951","Plimpton, George A. (George Arthur), 1855-1936",eng,"Jan. 9, 1917",Peace,,,,,,original filename: plmptn_138_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
26,,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1786-06-29,,Mount Vernon (Va.),,George Washington Papers,,"Autograph letter by George Washington, signed, to Nicholas Pike","Autograph letter by George Washington, signed, to Nicholas Pike",,,,,,"Washington, George, 1732-1799","Pike, Nicolas, 1743-1819",eng,"June 20, 1786","Pike, Nicolas, 1743-1819",Education,,,,,original filename: plmptn_153_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
27,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/encyclopedias/page-1,1,0,1 page (scroll),10 images,manuscripts,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1380,1399,France,,Plimpton,Plimpton MS 286,Chronique Universelle,Chronique Universelle,,,,,,,,fre,End of the 14th century,History,,,,,,original filename: plmptn_004_001.jpg,original filename: plmptn_004_002.jpg,original filename: plmptn_004_003.jpg,original filename: plmptn_004_004.jpg,original filename: plmptn_004_005.jpg,original filename: plmptn_004_006.jpg,original filename: plmptn_004_007.jpg,original filename: plmptn_004_008.jpg,original filename: plmptn_004_009.jpg,original filename: plmptn_004_010.jpg,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
28,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-3,1,0,1 page,1 image,manuscripts,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1225,1249,France,,Plimpton,Plimpton MS 061,Sententiarum Libri IV. Page 1 recto,Sententiarum Libri IV,Page 1 recto,Sententiae. Page 1 recto,Sententiae,Page 1 recto,alternative,"Peter Lombard, Bishop of Paris, approximately 1100-1160",,lat,Second quarter of 13th century,Catholic Church,,,,,,original filename: plmptn_010_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
29,,1,0,2 pages,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1630,,London (England),,Plimpton,Plimpton 511 1630 W72,Arithmetiqve made easie. 2 unnumbered pages,Arithmetiqve made easie,2 unnumbered pages,,,,,"Wingate, Edmund, 1596-1656",,eng,1630,Arithmetic,,Printed for Phil. Stephens and Chr. Meredith,CLIO_1367030,,,original filename: plmptn_087_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
30,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,1,0,cover,1 image,books,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1760,,Boston (Mass.),,Plimpton,Plimpton A478 1760 Ot4,Rudiments of Latin Prosody. Front cover,Rudiments of Latin Prosody,Front cover,,,,,"Otis, James, 1725-1783",,eng,1760,Latin language--Grammar,,Printed and sold by Benjamin Mecom,,,,original filename: plmptn_051_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
31,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/slavery/page-1,1,0,2 pages,1 image,manuscripts,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1791,1792,South Carolina?,,George A. Plimpton Papers,Plimpton Slavery Collection,"Account book of slave trading expedition, 1791-1792. 2 unnumbered pages","Account book of slave trading expedition, 1791-1792",2 unnumbered pages,,,,,"Johnston, John",,eng,1791-1792,Slavery,,,,,,original filename: plmptn_120_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
32,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-2,1,0,1 page,1 image,correspondence,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1930-08-08,,Southampton (N.Y.),,Plimpton Family Papers,,Letter to George A. Plimpton regarding new building and collection,Letter to George A. Plimpton regarding new building and collection,,,,,,"Butler, Nicholas Murray, 1862-1947","Plimpton, George A. (George Arthur), 1855-1936",eng,"Aug. 8, 1930",Butler Library,,,,,,original filename: plmptn_096_001.jpg,,,,,,,,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,
33,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,1,0,"the treatise is written on laid paper with visible regular chainlines, but the flyleaves are machine-made wove paper

rubrication

diagrams

binding is not contemporary with the textblock",,manuscripts,"in this copy the treatise in 10 chapters is followed by a concise commentary

a title is not included into the copy's colophon

the scribe names himself in the dated colophon



references:

Brockelmann S II, p. 1020 s.v. #33

D. A. King, Survey of the Scientific Manuscripts in the Egyptian National Library (Winona Lake, Ind., 1986), p. 162 s.v. G77",,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1726-02-22,,Iraq?,,Oriental Manuscripts,Oriental MS Plimpton 284,Risālah fī al-ʻamal bi'l-asṭurlāb. 2 unnumbered pages,Risālah fī al-ʻamal bi'l-asṭurlāb,2 unnumbered pages,Treatise concerning the use of the astrolabe. 2 unnumbered pages,Treatise concerning the use of the astrolabe,2 unnumbered pages,translated,"Jazarī, Ḥaydar ibn 'Abd al-Raḥmān","Bukhārī, 'Abd Allāh",ara,"22 February 1726 (19 Jumādā II, 1138)",Astrolabes,,,,,ʻAbd Allāh al-Bukhārī (scribe),original filename: plmptn_080_001.jpg,,,,,,,,,,,,Gift of George Arthur Plimpton,Arab provinces of the Ottoman Empire,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",http://www.columbia.edu/cgi-bin/cul/resolve?lweb0116,still image,Original Format: book
