item - public,item - itemId,item - featured,item - MODS - FormGenre,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - DublinCore - Source,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Date,item - DublinCore - Coverage,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Language,item - DublinCore - Description,item - DublinCore - Publisher,item - AdditionalItemMetadata - Provenance ,item - AdditionalItemMetadata - TemporalCoverage,item - AdditionalItemMetadata - RightsHolder,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - PublicationDate,item - MODS - ShelfLocation,item - MODS - PublicationPlace,item - MODS - Collection,item - OmekaCollection,item - ItemType,item - ItemType - text,item - ItemInContext,project URL
1,6681,0,photographs,1889,,,,"Photograph of Edith Louise and Joseph Pulitzer, Jr.","Photograph of Edith Louise and Joseph Pulitzer, Jr.",,"Pulitzer, Edith Louise","Pulitzer, Joseph, 1885-1955",1889,,"Kurtz, William, 1833-1904",,eng,,,"Gift of Joseph Pulitzer, Jr.",,,original filename: Pulitzer Youngest Children 006.jpg,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1889,"World Papers, Box 10",New York (N.Y.),World records,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/pulitzer-family/family,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6601,0,books,1924,,,,Joseph Pulitzer His Life & Letters,Joseph Pulitzer His Life & Letters,,"Pulitzer, Joseph, 1847-1911",,1924,,"Seitz, Don Carlos, 1862-1935",,eng,,"Simon and Schuster, inc.",,,,original filename: Seitz Biography.jpg,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1924,,New York,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/pulitzer-biographies/pulitzer-biographies,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6600,0,books,1931,,,,End of The World. Cover,End of The World,Cover,"World (New York, N.Y. : 1860-1931)",,1931,,"Barrett, James Wyman, 1885-",,eng,,Harper & Brothers,,,,original filename: End_of_the_World1.jpg,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1931,Box 60,New York,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6499,0,photographs,1873,,,St. Louis Post-Dispatch,Joseph and Albert Pulitzer,Joseph and Albert Pulitzer,,"Pulitzer, Joseph, 1847-1911","Pulitzer, Albert",1873,,,,,Photograph of Joseph and Albert Pulitzer,,,,St. Louis Post-Dispatch,original filename: joseph & albert1.jpg,,reformatted digital,Non-Columbia Location,Non-CUL,eng,1873,,New York,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/pulitzer-family/family,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6498,0,books,2010,,,,"Pulitzer, A Life in Politics, Print, and Power. Front cover","Pulitzer, A Life in Politics, Print, and Power",Front cover,"Pulitzer, Joseph, 1847-1911",,2010,,"Morris, James McGrath",,eng,,Harper,,,,original filename: Pulitzer Morris DJ.jpg,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,2010,,New York,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/pulitzer-biographies/pulitzer-biographies,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6497,0,photographs,1905-06,,,,Portrait of Joseph Pulitzer,Portrait of Joseph Pulitzer,,"Pulitzer, Joseph, 1847-1911",,"June, 1905",,"Sargent, John Singer, 1856-1925",,eng,,Jean Paul Torno,"Photography: Jean Paul Torno
Private Collection",,Private Collection,original filename: Sargent Portrait.jpg,,reformatted digital,Non-Columbia Location,Non-CUL,eng,1905-06,,,,Joseph Pulitzer and The World,still image,Original Format: Oil painting,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/pulitzer-family/family-portraits,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6496,0,photographs,1955,,,,World Building interior,World Building interior,,"World (New York, N.Y. : 1860-1931)",,1955,,,,,"Photograph of World Building interior showing stained glass window ""Liberty Lighting the World""",,,,,original filename: World bldg inside1.jpg,,reformatted digital,Non-Columbia Location,Non-CUL,eng,,,,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6495,0,photographs,1912,,,,Dedication of the Columbia School of Journalism,Dedication of the Columbia School of Journalism,,Columbia University. School of Journalism,,1912,,,,,"Photograph of the Dedication of the Columbia School of Journalism, Nicholas Murray Butler and bust of Joseph Pulitzer by August Rodin",,,,,original filename: Rodin Bust and officials1.jpg,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1912,,,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/philanthropy/school-of-journalism,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6494,0,photographs,1955,,,,Opening of the Cornerstone Box,Opening of the Cornerstone Box,,,,1955,,,,,"Photograph of the Opening of the Cornerstone Box, World Building",,"Library of Congress, New York World-Telegram & Sun Collection",,"Library of Congress, New York World-Telegram & Sun Collection",original filename: Cornerstone box opening2.jpg,,reformatted digital,Non-Columbia Location,Non-CUL,eng,1955,,,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,6493,0,photographs,1889,,,,World Room Window in the Journalism building,World Room Window in the Journalism building,,Columbia University. School of Journalism,,1889,,"Heinigke & Bowen, New York",,eng,"Stained glass window created for World Building, ""Liberty Lighting the World""; World Room, Journalism School",,Eileen Barroso,,Eileen Barroso,original filename: World Room stained glass window3.jpg,,reformatted digital,Non-Columbia Location,Non-CUL,eng,,,,,Joseph Pulitzer and The World,still image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/the-world-building/world-building-window,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
