relatedItem_Collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,name 3,name 4,name 5,name 6,keyDate_start,keyDate_end,dateQualifier,dateCreated 1,dateCreated 2,dateCreated 3,abstract 1,abstract 2,abstract 3,abstract 4,abstract 5,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResour ce,language,location_url_ObjectInContext,Source 1,Source 2,citation 1,citation 2,citation 3,physicalLocation,physicalLocation_authority,note,note_filename,digitalOrigin,form,form_authority,form_originalFormat 1,form_originalFormat 2,place 1,place_authority 1,place_authority_identifier 1,place 2,place 3,place 4,relatedItem_Project,note_ownership 1,note_ownership 2,note_ownership 3,languageOfCataloging,subject_topic,subject_topic 2,subject_topic 3,subject_topic 4,subject_topic 5,subject_topic 6,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_temporal 1,subject_temporal 2,subject_temporal 3,subject_title,subject_title_authority,subject_title_authority_identifier,accessCondition,title_nonsort,title,title 2,title 3,title 4,title 5,title 6,title 7,title 8,identifer_title,title2,title2_type
,,,,,,,,,,,0000 ,,qu,Unknown,,,,,,,,0,1,,3925,Still Image,eng,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.
",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000616.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 173 [no page number, Chapter 8]
",,,none,,,ldpd_5800727_003_00000616.jpg,rd,,,"Original Format: Etching on copper
",,Manhattan,,,,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,eng,"Manhattan (New York, N.Y.)--History--20th century.",New York (N.Y.)--Description and travel--Views.,Ships--New York (State)--New York--History--19th century,,,,,,,,,,1909,,,,,,,,"The ""Half Moon"" at the Water Gate
",,,,,,,,,,
,,,,,,,,,,,1917 ,,ex,1917,,,,,,,,0,1,,3924,Still Image,eng,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.
",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000614.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 172 [no page number, Chapter 8]",,,none,,,ldpd_5800727_003_00000614.jpg,rd,,,"Original Format: Gouache drawing in pen and ink on paper
",,Manhattan,,,,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,eng,"Manhattan (New York, N.Y.)--History--20th century.",New York (N.Y.)--Description and travel--Views.,Ships--New York (State)--New York--History--19th century,,,,,,,,,,1909,,,,,,,,"Panorama of Manhattan Island and the Hudson River during the Hudson-Fulton Celebration Parade, on Saturday 25, 1909
",,,,,,,,,,
,Howells and Stokes,,,,,"Stokes, I.N. Phelps",,,,,1908 1922,,Exact,1908,1922,,"Left plate: 78-a
Right plate: 78-b
Labeled as 'Plate 78' on page",,,,,0,1,,3920,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00001117.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 78-a and Plate 78-b [no page number, within Chapter 8]",,,No repository,,,ldpd_5800727_005_00001117.jpg,Reformatted digital,,,,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--20th century.","New York (N.Y.)--Buildings, structures, etc.",City planning--New York (State)--New York.,,,,,,,,,,,,,,,,,,"Design for N.Y. Municipal building, submitted by Howells and Stokes in competition, 1908 (Plate 78-a)","Design for Chicago Tribune building, submitted by I.N. Phelps Stokes in competition, 1922 (Plate 78-b)",,,,,,,,,
,,,,,,,,,,,1904 ,,Exact,1904,,,,,,,,0,1,,3919,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00001099.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 77 [no page number, within Chapter 8]",,,No repository,,,ldpd_5800727_005_00001099.jpg,Reformatted digital,,,Original Format: Photograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Wm. C. Douglas, Esq.",,,English,"Manhattan (New York, N.Y.)--History--20th century.","New York (N.Y.)--Buildings, structures, etc.",City planning--New York (State)--New York.,People--New York (State)--New York--20th century.,,,,,,,,,1904,,,,,,,,"Mayor McClellan, The Rapid Transit Commissioners and other guests of the Chief Contractor, John B. McDonald, starting on the first inspection tour of the Subway, July 19, 1904",,,,,,,,,,
,,,,,,,,,,,1889 1899,,Exact,1889,1899,,"Top plate: 75-a
Bottom plate: 75-b
Page labeled as 'Plate 75'",,,,,0,1,,3917,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00001031.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 75-a and Plate 75-b [no page number, within Chapter 8]",,,No repository,,,ldpd_5800727_005_00001031.jpg,Reformatted digital,,,Original Format: Photograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",People--New York (State)--New York--19th century.,,,,,,,,,1889 1899,,,,,,,,"Arch erected on 5th Ave., above 23rd St. for the Centennial Celebration, in 1889, of Washington's Inauguration (Plate 75-a)","Arch erected on 5th Ave., below 24th St. for the Dewey Celebration, Sept. 28-30, 1899. (Plate 75-b)",,,,,,,,,
,,,,,,,,,,,1836 ,,Exact,1836,,,,,,,,0,1,,3916,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00000827.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 69 [no page number, within Chapter 5]",,,No repository,,,ldpd_5800727_005_00000827.jpg,Reformatted digital,,,,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","City of New York, Topographical Bureau, Borough President's Office",,,English,"Manhattan (New York, N.Y.)--History--18th century.","Manhattan (New York, N.Y.)--Maps",City planning--New York (State)--New York.,,,,,,,,,,1835,,,,,,,,"Official Map of area burned by fire of Dec. 16-17, 1835, showing old and new street lines; compiled by Joseph F. Bridges, City Surveyer","Dated Jan. 5, 1836.",,,,,,,,,
,,,,,,,,,,,,,Questionable,,,,,,,,,0,1,,3915,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00000215.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 51-b [no page number, within Chapter 4]",,,No repository,,,ldpd_5800727_005_00000215.jpg,Reformatted digital,,,Original Format: Drawing,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Public Library,,,English,"Manhattan (New York, N.Y.)--History--18th century.","Manhattan (New York, N.Y.)--Maps",,,,,,,,,,,1789,,,,,,,,"Page of Christopher Colles' Road-Map, 1789, showing roads on Manhattan Island",,,,,,,,,,
,,,,,,,,,,,1778 ,,Approximate,1778,,,,,,,,0,1,,3914,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00000111.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 48 [no page number, within Chapter 3]",,,No repository,,,ldpd_5800727_005_00000111.jpg,Reformatted digital,,,Original Format: Drawing,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Public Library,,,English,"Manhattan (New York, N.Y.)--History--18th century.",New York (N.Y.)--Description and travel--Views.,,,,,,,,,,,1776,,,,,,,,"Kip's Bay, showing the British troops crossing the river on Sept. 15, 1776","Drawn by Archibald Robertson on Aug. 17, 1778, probably from a sketch made on the earlier date",,,,,,,,,
,,,,,,,,,,,1827 ,,Exact,1827,,,,,,,,0,1,,3913,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00000059.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 46A [no page number, within Chapter 3]",,,No repository,,,ldpd_5800727_005_00000059.jpg,Reformatted digital,,,Original Format: Drawing,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",City planning--New York (State)--New York.,,,,,,,,,,,1827,,,,,,,,"Plan of the Battery and Fort George, ""As they existed before the Revolutionary War;"" drawn by Col. John Van Dyk in 1827",,,,,,,,,,
,,,,,,,,,,,1779 ,,Exact,1778,,,,,,,,0,1,,3912,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00000017.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,Frontispiece II [no page number],,,No repository,,,ldpd_5800727_005_00000017.jpg,Reformatted digital,,,Original Format: Sepia drawing,,New York,,,Manhattan,Mt. Pitt,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Harris D. Colt, Esq.",,,English,"Manhattan (New York, N.Y.)--History--18th century.",New York (N.Y.)--Description and travel--Views.,,,,,,,,,,,1779,,,,,,,,"New York from Mt. Pitt; Drawn by Archibald Robertson on April 11, 1779",,,,,,,,,,
